accession_id,accession_name,accession_cs_number,accession_longitude,accession_latitude,accession_country,AT2G16280,AT1G20330,AT3G05630,AT3G11170,AT3G11210,AT3G19260,AT3G56040,AT3G56080,AT4G11830,AT4G17600,AT4G23700,AT4G23710,AT5G16230,AT5G16240,AT5G22500,AT5G59590,Mean Temperature of Coldest Quarter,Mean Temperature of Warmest Quarter,Max Temperature of Warmest Month,Min Temperature of Coldest Month,Mean Temperature of Wettest Quarter,Mean Temperature of Driest Quarter,Maximum temperature average within growing season,Minimum temperature average within growing season,Maximum Temperature of January,Maximum Temperature of October,Maximum Temperature of November,Maximum Temperature of December,Maximum Temperature of Februrary,Maximum Temperature of March,Maximum Temperature of April,Maximum Temperature of May,Maximum Temperature of June,Maximum Temperature of July,Maximum Temperature of August,Maximum Temperature of September,Minimum Temperature of January,Minimum Temperature of October,Minimum Temperature of November,Minimum Temperature of December,Minimum Temperature of Februrary,Minimum Temperature of March,Minimum Temperature of April,Minimum Temperature of May,Minimum Temperature of June,Minimum Temperature of July,Minimum Temperature of August,Minimum Temperature of September
159,MAR2-3,CS77070,3.93333,47.35,France,3567,3997,135,12507,185,430,3061,627,952,4753,97,1126,48,226,619,2,56,63,218,173,210,71,88,22,45,144,88,53,57,111,143,181,210,232,228,198,-11,65,29,1,-7,22,46,80,112,131,129,108
265,PYL-6,CS77198,-1.16667,44.65,France,2688,4030,97,12222,563,319,2461,1025,14,3650,16,1382,18,322,829,29,74,95,358,207,330,107,101,27,101,187,134,103,110,150,169,196,228,247,252,231,27,91,57,34,28,50,69,98,130,147,146,130
403,Zdarec3,CS78873,16.2667,49.3667,Czech Republic,4866,4967,234,19972,522,339,3174,1740,579,5866,212,1359,17,459,842,13,32,29,244,90,94,29,125,24,-1,127,56,13,20,69,125,177,206,225,223,182,-57,39,-1,-37,-44,-14,24,68,99,113,112,81
763,Kar-1,CS76522,74.3667,42.3,Kyrgyzstan,4422,5023,130,26538,133,961,2105,652,901,2637,75,743,17,348,171,53,41,24,199,67,67,19,128,16,-104,77,-11,-76,0,-21,78,128,175,212,207,156,-206,-39,-105,-166,-187,-108,-27,16,49,74,63,16
768,Zal-1,CS76634,76.35,42.8,Kyrgyzstan,1881,2668,270,9180,158,1361,1937,230,653,2262,1117,1182,17,368,735,7,16,9,145,24,24,6,113,7,-126,60,-32,5,-113,-40,62,113,157,193,191,140,-226,-49,-122,-187,-210,-126,-41,7,41,66,57,10
4958,UKSW06-360,CS78814,-4.5,50.5,UK,3618,4096,238,12751,345,436,2176,492,986,4566,43,1264,18,344,593,2,89,92,366,188,341,123,70,21,70,138,100,80,71,88,114,144,174,192,191,169,21,84,47,30,22,32,51,80,109,127,127,108
5151,UKSE06-325,CS78801,-1.7,52.2,UK,3619,5313,211,11667,185,321,1979,133,992,3242,21,1120,23,425,748,4,46,38,165,127,148,52,74,17,63,142,97,74,67,95,125,158,192,209,204,180,4,69,37,17,8,23,45,71,100,116,114,95
5349,UKSE06-639,CS78807,0.4,51.1,UK,5580,3684,1199,17110,310,534,1312,380,973,1702,74,1439,24,294,976,14,55,43,221,141,188,74,70,11,66,146,101,74,70,97,124,163,197,217,213,188,8,72,38,18,11,22,45,75,106,124,120,100
5353,UKNW06-003,CS78792,-3,54.5,UK,2747,3258,91,9401,377,603,2701,647,2012,2153,6,1774,48,249,262,0,118,101,457,256,411,150,87,9,25,102,58,34,31,55,87,123,156,168,163,135,-27,36,1,-17,-25,-8,9,38,69,86,82,63
5486,UKNW06-233,CS78794,-3.3,54.6,UK,3490,3824,251,7618,283,577,1661,305,738,2630,129,1096,26,295,1372,12,79,70,335,195,286,105,78,12,48,123,79,55,55,78,110,145,175,186,181,154,-5,56,21,2,-3,12,31,59,90,106,101,82
5577,UKNW06-403,CS78797,-3.4,54.7,UK,2334,3328,93,10942,294,503,2327,484,607,3583,47,1279,32,274,479,6,76,68,325,187,276,101,81,15,51,126,82,58,58,81,113,147,177,187,183,157,-2,59,23,5,-1,15,33,61,92,107,103,85
5741,For-2,CS78783,-4.1,56.6,UK,3464,4710,71,7497,253,532,1521,820,871,2386,78,1674,34,418,566,4,126,112,481,248,449,168,80,4,22,98,59,34,29,58,80,116,158,173,166,130,-33,31,-2,-21,-33,-8,4,35,75,93,88,58
5768,UKID63,CS78786,-1.5,54.1,UK,2873,3481,78,10913,357,472,2848,370,476,4596,29,969,15,347,663,3,49,44,185,141,164,59,70,15,62,137,93,70,65,91,119,154,186,201,198,173,7,67,33,15,7,22,40,67,98,115,112,94
5772,Set-1,CS78787,-2.3,54.1,UK,2490,3161,59,7567,274,526,2875,886,2956,3206,156,1437,26,380,830,9,111,92,424,239,380,139,76,10,47,124,80,55,51,76,106,144,175,187,183,158,-6,56,22,2,-5,10,28,58,89,105,101,84
