accession_id,accession_name,accession_cs_number,accession_longitude,accession_latitude,accession_country,AT2G16280,AT1G20330,AT3G05630,AT3G11170,AT3G11210,AT3G19260,AT3G56040,AT3G56080,AT4G11830,AT4G17600,AT4G23700,AT4G23710,AT5G16230,AT5G16240,AT5G22500,AT5G59590,acMGDG(18:3-2O/36:8-2O),acMGDG(18:3-3O/36:8-2O),Campesterol-Glc(16:0),Campesterol-Glc(18:3),Campesterol-Glc(18:2),GlcCer(34:1)-2,GlcCer(34:1)-3,GlcCer(40:1)-3,GlcCer(42:2)-3,Campesterol-Glc,DGDG(18:3/7:1-2O),DGDG(18:3/16:2),DGDG(18:3/16:1),DGDG(18:2/18:3),DGDG(18:1/18:3),MGDG(18:3/16:2),PC(16:0/16:1),PC(16:0/16:0),PE(20:1/18:3),PG(18:2/16:0),SQDG(32:0),SQDG(34:3),SQDG(36:6)
159,MAR2-3,CS77070,3.93333,47.35,France,3567,3997,135,12507,185,430,3061,627,952,4753,97,1126,48,226,619,2,0.0005995,0.000326058,0.011217822,0.009877992,0.008707483,0.278182557,0.400291697,0.22804645,0.583371597,0.119059215,0.010673727,0.154418426,0.796775337,0.348616757,0.381027918,0.395498702,0.10289715,0.101658785,0.009082498,0.572889441,0.011737448,0.445252303,0.145830822
403,Zdarec3,CS78873,16.2667,49.3667,Czech Republic,4866,4967,234,19972,522,339,3174,1740,579,5866,212,1359,17,459,842,13,0.000437307,0.000265144,0.010237515,0.009745721,0.007011807,0.324657411,0.351121314,0.228407132,0.621925229,0.137437433,0.010124081,0.162168156,0.67327701,0.309911823,0.276391984,0.430617193,0.136767704,0.103690499,0.010941189,0.656064335,0.008684228,0.397440357,0.139979589
424,Draha2,CS76812,16.2815,49.4112,Czech Republic,2608,4820,130,13240,306,494,1899,219,865,2635,59,1285,17,440,1041,5,0.00036885,0.000247127,0.006348313,0.006006539,0.005080703,0.269581252,0.328458308,0.138799147,0.636217716,0.090423372,0.006327042,0.180444784,0.905723399,0.271962168,0.330841836,0.384924932,0.142193465,0.126472618,0.009844036,0.659698009,0.008797564,0.42856324,0.148577828
428,Borky1,CS76718,16.232,49.403,Czech Republic,2601,3697,203,13509,246,559,1502,389,777,2431,57,1383,17,414,1086,3,0.000694111,0.000256062,0.009151059,0.007163367,0.006432156,0.258484046,0.318789204,0.207580396,0.510880542,0.114643846,0.009203618,0.190100003,0.682183307,0.295187312,0.348546981,0.331583948,0.097562562,0.111021437,0.009390525,0.722957739,0.008024987,0.453207224,0.128633105
997,Ale-Stenar-56-14,CS76653,14.05,55.3833,Sweden,3132,3189,134,8083,310,565,2726,263,754,3169,2,1165,26,306,800,1,0.000660364,0.000376298,0.007146274,0.008612489,0.006314125,0.346127918,0.393427804,0.17537744,0.598152833,0.09585393,0.007288906,0.174741134,0.888368637,0.289259579,0.338248001,0.376316788,0.147498802,0.164717102,0.011798035,0.665964027,0.019379091,0.531382997,0.133083301
1158,Aledal-6-49,CS76656,16.5167,56.7,Sweden,5574,4261,177,10789,141,573,3507,560,753,2770,98,1166,12,204,450,1,0.000542817,0.000389712,0.009190529,0.006845401,0.005831204,0.331081024,0.486289804,0.208677037,0.609507506,0.090034418,0.009745758,0.16309134,0.678724113,0.223165307,0.327765863,0.32431278,0.131057051,0.118007129,0.009175082,0.550834114,0.016743196,0.535710444,0.154121307
1317,Ängsö-74-430,CS76665,16.8667,59.5667,Sweden,5765,6967,77,13214,241,270,3300,1313,1203,6193,5,1679,19,590,581,0,0.000903185,0.000355893,0.005761528,0.00661058,0.005204868,0.318150287,0.376591013,0.172405934,0.62671953,0.108707677,0.008459194,0.178470167,0.73569971,0.248307869,0.285338072,0.343968525,0.109803873,0.107702288,0.010370869,0.728820187,0.010807556,0.458691203,0.146389053
5720,Cal-2,CS78781,-1.6,53.3,UK,4316,4520,90,10953,258,358,2573,849,8,3681,66,1363,13,370,880,6,0.000625556,0.000246463,0.007233524,0.007622216,0.005740363,0.319165632,0.52676243,0.202562421,0.686277543,0.117517388,0.007714881,0.156426043,0.672271972,0.305448819,0.328944226,0.353217244,0.101294441,0.103995274,0.012796114,0.769781253,0.008709081,0.359823703,0.148456902
5741,For-2,CS78783,-4.1,56.6,UK,3464,4710,71,7497,253,532,1521,820,871,2386,78,1674,34,418,566,4,0.000581938,0.00038962,0.006204375,0.006351377,0.004141567,0.253266227,0.335503149,0.206492,0.640693531,0.070707718,0.006400285,0.16534638,0.673261957,0.237631412,0.302045787,0.346923732,0.134346363,0.119965179,0.008323277,0.736946741,0.009441458,0.397042598,0.115297824
5748,Kil-0,CS78784,-4.4,56,UK,3137,5805,131,11443,387,330,2792,1014,665,3484,42,1363,14,424,814,5,0.0016307,0.000442101,0.008431685,0.007247522,0.006448909,0.312233454,0.405145549,0.267992827,0.630104788,0.095329518,0.009993101,0.157871649,0.678518254,0.269977913,0.275394294,0.415119203,0.103064008,0.108638461,0.010042576,0.703984544,0.012481038,0.503225173,0.148931208
5772,Set-1,CS78787,-2.3,54.1,UK,2490,3161,59,7567,274,526,2875,886,2956,3206,156,1437,26,380,830,9,0.000740968,0.000306484,0.006253366,0.006597458,0.005789975,0.30192506,0.362530147,0.18747583,0.730676142,0.093456633,0.012438537,0.222095178,0.542155341,0.29491931,0.342320109,0.446537967,0.088683183,0.088646725,0.009423887,0.524317564,0.012558809,0.51182403,0.126196241
5784,Ty-1,CS78790,-5.2,56.4,UK,3040,3481,145,8103,249,558,1594,842,84,2015,58,1840,21,429,947,9,0.000710527,0.000374464,0.004044111,0.005451621,0.002842758,0.311140422,0.313987357,0.161321529,0.61018374,0.04451484,0.012864367,0.189997345,0.569490375,0.263881845,0.304147749,0.396452718,0.094967137,0.094899778,0.00841293,0.727354721,0.011886931,0.446450935,0.13692673
5831,App1-14,CS76668,15.9667,56.3333,Sweden,4178,6149,178,10978,178,718,3001,524,823,4721,19,1528,9,319,1580,2,0.001011045,0.00050152,0.011362256,0.010623328,0.008534297,0.297805605,0.376612821,0.182240231,0.604650501,0.112813361,0.009884656,0.17783025,0.809415641,0.286899823,0.302401453,0.42754471,0.1356063,0.123166493,0.012557226,0.65840363,0.010131516,0.544922324,0.172980473
5837,Bor-1,CS76453,16.2326,49.4013,Czech Republic,2507,4070,127,11633,240,339,2793,1253,892,3117,30,1237,28,324,738,4,0.000667524,0.000331409,0.009959622,0.009042377,0.005544142,0.225968136,0.305232672,0.165377,0.719164443,0.108974145,0.010090193,0.203139259,0.760472866,0.269672272,0.297495762,0.361431326,0.147593716,0.12356089,0.01342293,0.696183191,0.012222789,0.447665928,0.132499098
5860,Dra-3,CS77913,18.0165,62.6814,Sweden,3411,3917,322,10049,230,585,1553,469,2298,2250,43,1412,10,267,111,2,0.000856114,0.000266924,0.007490192,0.007746842,0.004798053,0.261038613,0.378582697,0.239120447,0.539135477,0.083009736,0.007837216,0.183482275,0.648173396,0.317803614,0.354919779,0.412440648,0.095137287,0.08330139,0.010590158,0.851030321,0.013111084,0.461654944,0.142268491
5874,DraII-6,CS76814,16.2815,49.4112,Czech Republic,3004,3975,243,12172,323,492,2143,463,19,3267,54,1204,22,551,811,7,0.00067945,0.000255419,0.007987734,0.007173746,0.005152706,0.30052397,0.40365306,0.204795692,0.56846446,0.077902763,0.009966995,0.18233403,0.823352201,0.249946224,0.321072681,0.323989143,0.133776605,0.116931502,0.008340094,0.68768646,0.012239049,0.436559354,0.132920468
