Climate type,AT2G16280,AT1G20330,AT3G05630,AT3G11170,AT3G11210,AT3G19260,AT3G56040,AT3G56080,AT4G11830,AT4G17600,AT4G23700,AT4G23710,AT5G16230,AT5G16240,AT5G22500,AT5G59590
Mean Temperature of Coldest Quarter,-0.06,-0.097,-0.073,-0.11,0.039,-0.063,-0.054,0.068,0.128,-0.092,-0.094,0.187,0.128,-0.034,0.03,0.034
Mean Temperature of Warmest Quarter,-0.059,-0.112,-0.098,-0.093,0.013,-0.045,-0.079,0.04,0.135,-0.086,-0.061,0.138,0.136,-0.041,-0.017,0.105
Max Temperature of Warmest Month,-0.094,-0.102,-0.074,-0.125,0.039,-0.035,-0.056,0.117,0.113,-0.127,-0.042,0.044,0.033,-0.043,0.012,0.065
Min Temperature of Coldest Month,-0.123,-0.038,-0.031,-0.102,0.108,-0.039,-0.069,0.135,-0.055,-0.118,-0.072,-0.037,-0.016,0.017,0.11,-0.044
Mean Temperature of Wettest Quarter,-0.041,-0.095,-0.074,-0.093,0.014,-0.02,-0.102,0.027,0.104,-0.091,-0.056,0.124,0.108,-0.053,-0.026,0.077
Mean Temperature of Driest Quarter,-0.035,-0.092,-0.042,-0.086,0.005,0.002,-0.12,0.013,0.091,-0.089,-0.049,0.113,0.096,-0.067,-0.042,0.072
Maximum temperature average within growing season,0.001,-0.017,-0.105,0.012,-0.005,-0.04,0.14,0.032,0.066,0.048,0.012,0.085,0.082,-0.031,-0.059,-0.037
Minimum temperature average within growing season,0.039,0.025,-0.044,0.03,0.034,-0.05,0.107,0.006,0.083,0.014,0.013,0.026,0.073,-0.067,0.003,-0.013
Maximum Temperature of January,0.107,0.061,-0.023,0.004,0.049,-0.119,0.005,-0.011,0.176,0.055,-0.121,0.202,0.159,0.012,0.048,0.022
Maximum Temperature of October,0.088,0.061,-0.022,-0.013,0.011,-0.09,0.06,-0.049,0.237,0.056,-0.072,0.151,0.145,0.011,0.018,0.031
Maximum Temperature of November,0.099,0.075,-0.007,0.001,0.032,-0.105,0.015,-0.036,0.224,0.038,-0.096,0.185,0.14,0.0,0.035,0.021
Maximum Temperature of December,0.078,0.048,-0.023,-0.018,0.033,-0.108,0.02,-0.028,0.198,0.029,-0.074,0.204,0.171,-0.023,0.036,0.019
Maximum Temperature of Februrary,0.106,0.075,-0.028,0.02,0.042,-0.114,-0.015,-0.024,0.191,0.048,-0.116,0.215,0.159,-0.006,0.052,0.047
Maximum Temperature of March,0.077,0.079,-0.024,-0.013,0.05,-0.111,-0.018,-0.03,0.203,0.047,-0.11,0.191,0.158,0.029,0.062,0.054
Maximum Temperature of April,0.051,0.045,-0.018,-0.046,0.015,-0.079,0.071,-0.048,0.214,0.068,-0.067,0.091,0.131,0.054,0.032,0.071
Maximum Temperature of May,0.023,0.007,-0.015,-0.072,-0.018,-0.054,0.158,-0.039,0.178,0.087,-0.015,-0.023,0.073,0.066,-0.004,0.066
Maximum Temperature of June,0.049,0.005,-0.032,-0.026,-0.05,-0.054,0.158,-0.083,0.163,0.104,-0.007,0.045,0.091,0.014,-0.041,0.053
Maximum Temperature of July,0.06,0.004,-0.051,-0.002,-0.051,-0.058,0.132,-0.087,0.17,0.109,-0.018,0.112,0.118,0.02,-0.038,0.052
Maximum Temperature of August,0.075,0.02,-0.049,-0.001,-0.041,-0.064,0.122,-0.078,0.188,0.106,-0.024,0.126,0.13,0.03,-0.028,0.051
Maximum Temperature of September,0.067,0.03,-0.049,-0.014,-0.017,-0.078,0.105,-0.066,0.21,0.09,-0.045,0.139,0.141,0.033,-0.004,0.046
Minimum Temperature of January,0.096,0.089,0.02,0.007,0.067,-0.116,-0.065,-0.009,0.165,0.006,-0.114,0.19,0.127,-0.003,0.077,0.02
Minimum Temperature of October,0.092,0.071,0.017,-0.006,0.042,-0.11,0.049,-0.032,0.202,0.035,-0.072,0.126,0.12,-0.028,0.051,0.026
Minimum Temperature of November,0.09,0.08,0.036,-0.002,0.058,-0.093,-0.021,-0.019,0.208,0.006,-0.09,0.135,0.108,-0.012,0.062,0.023
Minimum Temperature of December,0.121,0.112,0.026,0.012,0.057,-0.116,-0.056,-0.029,0.177,0.015,-0.107,0.152,0.093,-0.027,0.06,0.005
Minimum Temperature of Februrary,0.093,0.086,0.022,-0.001,0.066,-0.106,-0.059,-0.005,0.179,0.005,-0.11,0.177,0.127,0.003,0.083,0.024
Minimum Temperature of March,0.086,0.062,0.008,-0.015,0.063,-0.099,-0.016,-0.018,0.176,0.035,-0.109,0.141,0.128,0.029,0.075,0.045
Minimum Temperature of April,0.053,0.054,0.025,-0.048,0.046,-0.084,0.062,-0.032,0.212,0.03,-0.07,0.068,0.112,0.011,0.06,0.062
Minimum Temperature of May,0.033,0.043,0.033,-0.075,0.031,-0.077,0.144,-0.025,0.201,0.038,-0.03,-0.028,0.055,0.015,0.047,0.046
Minimum Temperature of June,0.033,0.035,0.023,-0.053,0.01,-0.075,0.181,-0.057,0.185,0.063,-0.005,-0.032,0.047,-0.022,0.021,0.04
Minimum Temperature of July,0.044,0.032,0.007,-0.032,-0.001,-0.086,0.191,-0.061,0.19,0.086,-0.013,0.009,0.07,-0.018,0.021,0.042
Minimum Temperature of August,0.066,0.052,0.006,-0.017,0.009,-0.091,0.152,-0.056,0.214,0.083,-0.029,0.056,0.092,-0.005,0.031,0.041
Minimum Temperature of September,0.077,0.061,-0.006,-0.011,0.028,-0.114,0.111,-0.036,0.217,0.062,-0.062,0.111,0.12,-0.024,0.045,0.028
